art_movement,author_id,bio_url,birth_year,death_year,first_name,last_name,nationality,num_works
Hudson River School,371,http://www.the-athenaeum.org/people/detail.php?ID=371,1825,1894.0,George,Inness,American,322
Symbolist,1743,http://www.the-athenaeum.org/people/detail.php?ID=1743,1870,1943.0,Maurice,Denis,French,320
Impressionist,1338,http://www.the-athenaeum.org/people/detail.php?ID=1338,1874,1939.0,Frederick Carl,Frieseke,American,318
,2159,http://www.the-athenaeum.org/people/detail.php?ID=2159,1817,1900.0,Ivan Constantinovich,Aivazovsky,Russian,317
Post-Impressionist,382,http://www.the-athenaeum.org/people/detail.php?ID=382,1864,1901.0,Henri de,Toulouse-lautrec,French,317
Impressionist,428,http://www.the-athenaeum.org/people/detail.php?ID=428,1834,1903.0,James Abbott McNeill,Whistler,American,315
,3476,http://www.the-athenaeum.org/people/detail.php?ID=3476,1864,1941.0,Louis M.,Eilshemius,American,309
Rococo,5164,http://www.the-athenaeum.org/people/detail.php?ID=5164,1705,1765.0,"VAN, Carle",Loo,French,308
Impressionist,103,http://www.the-athenaeum.org/people/detail.php?ID=103,1841,1895.0,Berthe,Morisot,French,307
Ashcan,1772,http://www.the-athenaeum.org/people/detail.php?ID=1772,1870,1938.0,William James,Glackens,American,305
Impressionist,434,http://www.the-athenaeum.org/people/detail.php?ID=434,1857,1927.0,Edward,Potthast,American,302
,5448,http://www.the-athenaeum.org/people/detail.php?ID=5448,1724,1806.0,George,Stubbs,United Kingdom,301
Impressionist,509,http://www.the-athenaeum.org/people/detail.php?ID=509,1858,1925.0,Lovis,Corinth,German,299
,2749,http://www.the-athenaeum.org/people/detail.php?ID=2749,1878,1931.0,William,Orpen,Irish,296
,540,http://www.the-athenaeum.org/people/detail.php?ID=540,1864,1926.0,Charles Marion,Russell,American,295
,447,http://www.the-athenaeum.org/people/detail.php?ID=447,1819,1904.0,Martin Johnson,Heade,American,292
,1460,http://www.the-athenaeum.org/people/detail.php?ID=1460,1787,1849.0,William,Etty,English,288
Romantic,2967,http://www.the-athenaeum.org/people/detail.php?ID=2967,1769,1830.0,Thomas,Lawrence,English,288
Old Lyme Colony,96,http://www.the-athenaeum.org/people/detail.php?ID=96,1853,1902.0,John Henry,Twachtman,American,288
Realist,347,http://www.the-athenaeum.org/people/detail.php?ID=347,1819,1877.0,Gustave,Courbet,French,285
Expressionist,1954,http://www.the-athenaeum.org/people/detail.php?ID=1954,1880,1938.0,Ernst Ludwig,Kirchner,German,284
Nabi,398,http://www.the-athenaeum.org/people/detail.php?ID=398,1865,1925.0,Felix,Vallotton,Swiss,280
Renaissance,1341,http://www.the-athenaeum.org/people/detail.php?ID=1341,1488,1576.0,,Titian,Italian,280
,1829,http://www.the-athenaeum.org/people/detail.php?ID=1829,1878,1943.0,Marsden,Hartley,American,278
Peredvizhniki,3627,http://www.the-athenaeum.org/people/detail.php?ID=3627,1844,1927.0,Vasily,Polenov,Russian,274
Realist,400,http://www.the-athenaeum.org/people/detail.php?ID=400,1832,1883.0,Édouard,Manet,French,271
Peredvizhniki,1884,http://www.the-athenaeum.org/people/detail.php?ID=1884,1844,1930.0,Ilia Efimovich,Repin,Russian,271
Baroque,2944,http://www.the-athenaeum.org/people/detail.php?ID=2944,1618,1680.0,Peter,Lely,English,269
Hudson River School,523,http://www.the-athenaeum.org/people/detail.php?ID=523,1837,1908.0,Alfred Thompson,Bricher,American,267
,533,http://www.the-athenaeum.org/people/detail.php?ID=533,1831,1913.0,John George,Brown,American,266
Ashcan,97,http://www.the-athenaeum.org/people/detail.php?ID=97,1882,1925.0,George Wesley,Bellows,American,264
,3075,http://www.the-athenaeum.org/people/detail.php?ID=3075,1871,1935.0,Samuel John,Peploe,Scottish,263
Academist,230,http://www.the-athenaeum.org/people/detail.php?ID=230,1861,1922.0,John William,Godward,English,262
Expressionist,901,http://www.the-athenaeum.org/people/detail.php?ID=901,1879,1940.0,Paul,Klee,Swiss,261
,4470,http://www.the-athenaeum.org/people/detail.php?ID=4470,1869,1939.0,Konstantin,Somov,Russian,260
Romantic,1331,http://www.the-athenaeum.org/people/detail.php?ID=1331,1776,1837.0,John,Constable,English,259
,6976,http://www.the-athenaeum.org/people/detail.php?ID=6976,1827,1905.0,Lev,Lagorio,Russian,259
Impressionist,23,http://www.the-athenaeum.org/people/detail.php?ID=23,1848,1894.0,Gustave,Caillebotte,French,256
,6208,http://www.the-athenaeum.org/people/detail.php?ID=6208,1873,1944.0,Stanislav,Zhukovsky,Russian,254
,159,http://www.the-athenaeum.org/people/detail.php?ID=159,1880,1928.0,Nicolai,Astrup,Norwegian,253
Impressionist,1762,http://www.the-athenaeum.org/people/detail.php?ID=1762,1847,1935.0,Max,Liebermann,German,250
Barbizon,107,http://www.the-athenaeum.org/people/detail.php?ID=107,1817,1878.0,Charles François,Daubigny,French,249
Post-Impressionist,4446,http://www.the-athenaeum.org/people/detail.php?ID=4446,1860,1942.0,Walter Richard,Sickert,German,248
Hudson River School,470,http://www.the-athenaeum.org/people/detail.php?ID=470,1823,1900.0,Jasper Francis,Cropsey,American,247
Rococo,5566,http://www.the-athenaeum.org/people/detail.php?ID=5566,1700,1777.0,Charles-Joseph,Natoire,French,247
,4615,http://www.the-athenaeum.org/people/detail.php?ID=4615,1755,1842.0,Élisabeth,Vigée le brun,French,245
Baroque,5734,http://www.the-athenaeum.org/people/detail.php?ID=5734,1610,1690.0,David,Teniers,Dutch,243
,3044,http://www.the-athenaeum.org/people/detail.php?ID=3044,1783,1859.0,David,Cox,English,243
Romantic,348,http://www.the-athenaeum.org/people/detail.php?ID=348,1798,1863.0,Eugène,Delacroix,French,243
,436,http://www.the-athenaeum.org/people/detail.php?ID=436,1868,1932.0,Alfred Henry,Maurer,American,240
Academist,56,http://www.the-athenaeum.org/people/detail.php?ID=56,1824,1904.0,Jean-Léon,Gérôme,French,240
,690,http://www.the-athenaeum.org/people/detail.php?ID=690,1835,1910.0,John,La farge,American,239
Veduta,4972,http://www.the-athenaeum.org/people/detail.php?ID=4972,1712,1793.0,Francesco Lazzaro,Guardi,Italian,236
Impressionist,437,http://www.the-athenaeum.org/people/detail.php?ID=437,1849,1928.0,Albert,Lebourg,French,236
,2857,http://www.the-athenaeum.org/people/detail.php?ID=2857,1869,1937.0,Philip Alexius,De lászló,United Kingdom,235
,1443,http://www.the-athenaeum.org/people/detail.php?ID=1443,1858,1929.0,Henry Scott,Tuke,English,232
,1638,http://www.the-athenaeum.org/people/detail.php?ID=1638,1713,1782.0,Richard,Wilson,Welsh,231
,7729,http://www.the-athenaeum.org/people/detail.php?ID=7729,1841,1913.0,George,Reid,Scottish,230
Academist,9,http://www.the-athenaeum.org/people/detail.php?ID=9,1830,1896.0,Frederic Lord,Leighton,English,229
Rococo,5965,http://www.the-athenaeum.org/people/detail.php?ID=5965,1697,1764.0,William,Hogarth,English,228
,1196,http://www.the-athenaeum.org/people/detail.php?ID=1196,1734,1802.0,George,Romney,English,227
,4983,http://www.the-athenaeum.org/people/detail.php?ID=4983,1876,1945.0,Konstantin,Gorbatov,Russian,224
,1321,http://www.the-athenaeum.org/people/detail.php?ID=1321,1831,1923.0,Benjamin Williams,Leader,English,224
,5584,http://www.the-athenaeum.org/people/detail.php?ID=5584,1763,1804.0,George,Morland,English,220
Nabi,180,http://www.the-athenaeum.org/people/detail.php?ID=180,1861,1930.0,József,Rippl-rónai,Hungarian,219
,5401,http://www.the-athenaeum.org/people/detail.php?ID=5401,1878,1939.0,Kuzma,Petrov-vodkin,Russian,219
Romantic,499,http://www.the-athenaeum.org/people/detail.php?ID=499,1746,1828.0,Francisco José,Goya y lucientes de,Spanish,219
Pre-Raphaelite,3,http://www.the-athenaeum.org/people/detail.php?ID=3,1828,1882.0,Dante Gabriel,Rossetti,English,219
Pre-Raphaelite,8,http://www.the-athenaeum.org/people/detail.php?ID=8,1829,1896.0,John Everett,Millais,English,218
Pre-Raphaelite,4304,http://www.the-athenaeum.org/people/detail.php?ID=4304,1850,1934.0,John Maler,Collier,English,217
,393,http://www.the-athenaeum.org/people/detail.php?ID=393,1856,1913.0,Henri,Moret,French,215
,488,http://www.the-athenaeum.org/people/detail.php?ID=488,1874,1946.0,Pierre-Eugene,Montezin,French,215
,1738,http://www.the-athenaeum.org/people/detail.php?ID=1738,1883,1935.0,Charles Henry Buckius,Demuth,American,215
Romantic,572,http://www.the-athenaeum.org/people/detail.php?ID=572,1831,1910.0,Albert Samuel,Anker,Swiss,215
Renaissance,5501,http://www.the-athenaeum.org/people/detail.php?ID=5501,1518,1594.0,,Tintoretto,Italian,214
,113,http://www.the-athenaeum.org/people/detail.php?ID=113,1796,1864.0,David,Roberts,Scottish,214
,1816,http://www.the-athenaeum.org/people/detail.php?ID=1816,1865,1931.0,Akseli,Gallen-kallela,Finnish,213
Hudson River School,425,http://www.the-athenaeum.org/people/detail.php?ID=425,1826,1900.0,Frederic Edwin,Church,American,212
,2686,http://www.the-athenaeum.org/people/detail.php?ID=2686,1844,1900.0,Mihály,Munkácsy,Hungarian,209
