file_name,width,height
rembrand_91nonrem_22noremb.jpg,1338,1700
rembrand_91nonrem_23noremb.jpg,1330,1600
rembrand_91nonrem_24noremb.jpg,1555,1200
rembrand_91nonrem_25noremb.jpg,1341,1600
rembrand_91nonrem_26noremb.jpg,1200,1601
rembrand_91nonrem_27noremb.jpg,1311,1500
rubens_7graphic_01sketch.jpg,820,1001
rubens_7graphic_01sketci.jpg,698,800
rubens_7graphic_01sketcj.jpg,800,1113
rubens_7graphic_01sketck.jpg,857,1300
rubens_7graphic_02sketch.jpg,800,1007
rubens_7graphic_03sketch.jpg,941,850
rubens_7graphic_04sketc.jpg,1040,900
rubens_7graphic_04sketch.jpg,999,1500
rubens_7graphic_05sketch.jpg,829,1102
rubens_7graphic_06sketch.jpg,784,900
rubens_7graphic_06sketci.jpg,803,1122
rubens_7graphic_07euchar.jpg,1034,850
rubens_7graphic_08euchar.jpg,1102,900
rubens_7graphic_09euchar.jpg,800,632
rubens_7graphic_10euchar.jpg,564,600
rubens_7graphic_10sketc1.jpg,1410,900
rubens_7graphic_10sketc2.jpg,1220,900
rubens_7graphic_10sketc3.jpg,1068,800
rubens_7graphic_11sketc1.jpg,750,1111
rubens_7graphic_11sketch.jpg,908,1300
rubens_7graphic_11sketcx.jpg,1300,1015
rubens_7graphic_12sketch.jpg,450,873
rubens_7graphic_13sketch.jpg,400,872
rubens_7graphic_14sketch.jpg,750,779
rubens_7graphic_15sketch.jpg,800,810
rubens_7graphic_16sketch.jpg,700,1050
rubens_7graphic_17drawin.jpg,480,694
rubens_7graphic_18drawin.jpg,906,1062
rubens_7graphic_19drawin.jpg,666,820
rubens_7graphic_20drawin.jpg,462,600
rubens_7graphic_21drawin.jpg,750,1093
rubens_7graphic_22drawin.jpg,850,1050
rubens_7graphic_23drawin.jpg,850,1132
rubens_7graphic_24drawin.jpg,822,1010
degas_7_graphi01.jpg,668,800
degas_7_graphi02.jpg,688,900
degas_7_graphi03.jpg,770,900
degas_7_graphi04.jpg,1269,800
degas_7_graphi05.jpg,345,450
degas_7_graphi06.jpg,1267,800
degas_7_graphi07.jpg,700,962
degas_7_graphi08.jpg,500,764
degas_7_graphi09.jpg,711,1000
degas_7_graphi10.jpg,739,950
degas_7_graphi11.jpg,1237,1500
degas_7_graphi12.jpg,900,1372
degas_7_graphi13.jpg,604,750
degas_7_graphi14.jpg,1148,900
degas_7_graphi15.jpg,1047,800
degas_7_graphi16.jpg,670,900
degas_7_graphi17.jpg,1054,800
degas_7_graphi18.jpg,1000,1282
degas_7_graphi19.jpg,1000,1331
degas_7_graphi20.jpg,1528,800
degas_7_graphi21.jpg,1516,700
caravagg_12_75stjohn.jpg,1000,1502
caravagg_12_76stjohn.jpg,715,920
caravagg_12_77tooth.jpg,1082,700
caravagg_12_79stjohn.jpg,610,848
caravagg_12_821isaac.jpg,1266,900
caravagg_12_84jupite.jpg,1000,1814
caravagg_12_84jupitx.jpg,667,1320
caravagg_12_87crowni.jpg,1047,815
caravagg_12_89d_stil.jpg,1400,821
caravagg_12_90holyfa.jpg,1134,1400
renoir_4_4renoi01.jpg,720,950
renoir_4_4renoi02.jpg,1425,1123
renoir_4_4renoi03.jpg,1000,1328
renoir_4_4renoi04.jpg,1000,1315
renoir_4_4renoi05.jpg,1100,1441
renoir_4_4renoi06.jpg,1200,1423
renoir_4_4renoi07.jpg,1321,1000
renoir_4_4renoi08.jpg,950,1171
renoir_4_4renoi09.jpg,825,600
renoir_4_4renoi10.jpg,1202,1500
renoir_4_4renoi11.jpg,965,800
